"ENSEMBL"	"BE02_107A"
"1"	"ENSG00000000003.16"	141
"2"	"ENSG00000000005.6"	1
"3"	"ENSG00000000419.14"	579
"4"	"ENSG00000000457.14"	213
"5"	"ENSG00000000460.17"	85
"6"	"ENSG00000000938.13"	50
"7"	"ENSG00000000971.17"	3791.619
"8"	"ENSG00000001036.14"	421
"9"	"ENSG00000001084.13"	872.002
"10"	"ENSG00000001167.15"	192
"11"	"ENSG00000001460.18"	54
"12"	"ENSG00000001461.18"	184.999
"13"	"ENSG00000001497.18"	263.999
"14"	"ENSG00000001561.7"	173
"15"	"ENSG00000001617.12"	78
"16"	"ENSG00000001626.18"	9659.491
"17"	"ENSG00000001629.10"	797.999
"18"	"ENSG00000001630.18"	718.703
"19"	"ENSG00000001631.17"	1825.905
"20"	"ENSG00000002016.18"	93.001
"21"	"ENSG00000002079.15"	0
"22"	"ENSG00000002330.14"	17.001
"23"	"ENSG00000002549.13"	440
"24"	"ENSG00000002586.20"	1416.107
"25"	"ENSG00000002587.10"	6
"26"	"ENSG00000002726.21"	28
"27"	"ENSG00000002745.13"	1
"28"	"ENSG00000002746.15"	21
"29"	"ENSG00000002822.16"	121
"30"	"ENSG00000002834.19"	409.001
"31"	"ENSG00000002919.15"	68.999
"32"	"ENSG00000002933.9"	35
"33"	"ENSG00000003056.8"	371.001
"34"	"ENSG00000003096.15"	98
"35"	"ENSG00000003137.9"	10
"36"	"ENSG00000003147.19"	614.001
"37"	"ENSG00000003249.15"	7
"38"	"ENSG00000003393.16"	618.999
"39"	"ENSG00000003400.16"	337
"40"	"ENSG00000003402.21"	1871
"41"	"ENSG00000003436.16"	295.999
"42"	"ENSG00000003509.16"	311.001
"43"	"ENSG00000003756.17"	1579.997
"44"	"ENSG00000003987.14"	6
"45"	"ENSG00000003989.18"	265
"46"	"ENSG00000004059.11"	246
"47"	"ENSG00000004139.14"	108
"48"	"ENSG00000004142.12"	480
"49"	"ENSG00000004399.13"	587
"50"	"ENSG00000004455.18"	5181.541
"51"	"ENSG00000004468.13"	112
"52"	"ENSG00000004478.8"	345
"53"	"ENSG00000004487.18"	649
"54"	"ENSG00000004534.15"	2310.999
"55"	"ENSG00000004660.15"	50
"56"	"ENSG00000004700.16"	388.958
"57"	"ENSG00000004766.17"	443.001
"58"	"ENSG00000004776.13"	445
"59"	"ENSG00000004777.19"	47.999
"60"	"ENSG00000004779.10"	149
"61"	"ENSG00000004799.8"	3621
"62"	"ENSG00000004809.14"	0
"63"	"ENSG00000004838.14"	1
"64"	"ENSG00000004846.17"	2
"65"	"ENSG00000004848.8"	4
"66"	"ENSG00000004864.14"	698.999
"67"	"ENSG00000004866.22"	357.001
"68"	"ENSG00000004897.12"	541.908
"69"	"ENSG00000004939.16"	41
"70"	"ENSG00000004948.16"	3
"71"	"ENSG00000004961.15"	95
"72"	"ENSG00000004975.12"	89.999
"73"	"ENSG00000005001.10"	40
"74"	"ENSG00000005007.14"	729
"75"	"ENSG00000005020.13"	270
"76"	"ENSG00000005022.6"	736
"77"	"ENSG00000005059.16"	55.999
"78"	"ENSG00000005073.6"	0
"79"	"ENSG00000005075.16"	334.246
"80"	"ENSG00000005100.13"	114
"81"	"ENSG00000005102.14"	8
"82"	"ENSG00000005108.17"	157
"83"	"ENSG00000005156.12"	291
"84"	"ENSG00000005175.10"	330
"85"	"ENSG00000005187.12"	353
"86"	"ENSG00000005189.20"	64.001
"87"	"ENSG00000005194.15"	131
"88"	"ENSG00000005206.17"	242.999
"89"	"ENSG00000005238.20"	37
"90"	"ENSG00000005243.10"	73
"91"	"ENSG00000005249.14"	128
"92"	"ENSG00000005302.19"	361.999
"93"	"ENSG00000005339.15"	4808.999
"94"	"ENSG00000005379.17"	162
"95"	"ENSG00000005381.9"	13
"96"	"ENSG00000005421.9"	0
"97"	"ENSG00000005436.14"	250
"98"	"ENSG00000005448.17"	18
"99"	"ENSG00000005469.12"	119
"100"	"ENSG00000005471.19"	32
"101"	"ENSG00000005483.23"	2961.002
"102"	"ENSG00000005486.17"	171
"103"	"ENSG00000005513.11"	29
"104"	"ENSG00000005700.15"	1578.001
"105"	"ENSG00000005801.18"	467.001
"106"	"ENSG00000005810.20"	4464
"107"	"ENSG00000005812.11"	310
"108"	"ENSG00000005844.19"	244
"109"	"ENSG00000005882.12"	467
"110"	"ENSG00000005884.18"	753
"111"	"ENSG00000005889.16"	962.001
"112"	"ENSG00000005893.17"	1303.999
"113"	"ENSG00000005961.19"	4
"114"	"ENSG00000005981.13"	38
"115"	"ENSG00000006007.12"	185
"116"	"ENSG00000006015.18"	57.999
"117"	"ENSG00000006016.12"	14
"118"	"ENSG00000006025.13"	229.001
"119"	"ENSG00000006042.12"	209
"120"	"ENSG00000006047.13"	4
"121"	"ENSG00000006059.4"	0
"122"	"ENSG00000006062.18"	163
"123"	"ENSG00000006071.16"	128.999
"124"	"ENSG00000006116.4"	0
"125"	"ENSG00000006118.15"	14
"126"	"ENSG00000006125.18"	1171.999
"127"	"ENSG00000006128.12"	2
"128"	"ENSG00000006194.11"	51.774
"129"	"ENSG00000006210.7"	24
"130"	"ENSG00000006282.22"	313.999
"131"	"ENSG00000006283.18"	7
"132"	"ENSG00000006327.14"	25
"133"	"ENSG00000006377.11"	0
"134"	"ENSG00000006432.16"	92
"135"	"ENSG00000006451.8"	104
"136"	"ENSG00000006453.14"	517
"137"	"ENSG00000006459.11"	665
"138"	"ENSG00000006468.15"	134.001
"139"	"ENSG00000006530.18"	250
"140"	"ENSG00000006534.17"	103
"141"	"ENSG00000006555.11"	40
"142"	"ENSG00000006576.17"	201
"143"	"ENSG00000006606.9"	3
"144"	"ENSG00000006607.14"	611.999
"145"	"ENSG00000006611.17"	339
"146"	"ENSG00000006625.18"	46.484
"147"	"ENSG00000006634.8"	105.819
"148"	"ENSG00000006638.13"	8
"149"	"ENSG00000006652.15"	1758
"150"	"ENSG00000006659.13"	0
"151"	"ENSG00000006695.12"	164
"152"	"ENSG00000006704.11"	181.999
"153"	"ENSG00000006712.15"	273
"154"	"ENSG00000006715.16"	767.001
"155"	"ENSG00000006740.18"	89.999
"156"	"ENSG00000006744.19"	778.001
"157"	"ENSG00000006747.15"	326.949
"158"	"ENSG00000006756.16"	225
"159"	"ENSG00000006757.12"	48
"160"	"ENSG00000006788.14"	0
"161"	"ENSG00000006831.10"	286.999
"162"	"ENSG00000006837.12"	0
"163"	"ENSG00000007001.14"	0
"164"	"ENSG00000007038.11"	6
"165"	"ENSG00000007047.16"	87
"166"	"ENSG00000007062.12"	1033
"167"	"ENSG00000007080.11"	99
"168"	"ENSG00000007129.18"	13
"169"	"ENSG00000007168.15"	1632.001
"170"	"ENSG00000007171.19"	0
"171"	"ENSG00000007174.18"	25
"172"	"ENSG00000007202.16"	1808.999
"173"	"ENSG00000007216.16"	1
"174"	"ENSG00000007237.19"	235
"175"	"ENSG00000007255.10"	15
"176"	"ENSG00000007264.15"	2
"177"	"ENSG00000007306.15"	15
"178"	"ENSG00000007312.14"	13
"179"	"ENSG00000007314.12"	14
"180"	"ENSG00000007341.19"	144
"181"	"ENSG00000007350.18"	1
"182"	"ENSG00000007372.25"	44.001
"183"	"ENSG00000007376.8"	24
"184"	"ENSG00000007384.15"	126.001
"185"	"ENSG00000007392.17"	418.999
"186"	"ENSG00000007402.12"	96
"187"	"ENSG00000007516.15"	49
"188"	"ENSG00000007520.4"	36
"189"	"ENSG00000007541.17"	113
"190"	"ENSG00000007545.16"	179.207
"191"	"ENSG00000007866.22"	95
"192"	"ENSG00000007908.16"	3
"193"	"ENSG00000007923.17"	232.001
"194"	"ENSG00000007933.13"	27
"195"	"ENSG00000007944.16"	134
"196"	"ENSG00000007952.18"	0
"197"	"ENSG00000007968.7"	0
"198"	"ENSG00000008018.9"	361
"199"	"ENSG00000008056.14"	7.196
"200"	"ENSG00000008083.14"	228
"201"	"ENSG00000008086.13"	312
"202"	"ENSG00000008118.10"	12
"203"	"ENSG00000008128.23"	467.856
"204"	"ENSG00000008130.15"	215.542
"205"	"ENSG00000008196.13"	0
"206"	"ENSG00000008197.5"	0
"207"	"ENSG00000008226.20"	38
"208"	"ENSG00000008256.17"	135
"209"	"ENSG00000008277.15"	36
"210"	"ENSG00000008282.10"	224
"211"	"ENSG00000008283.16"	172
"212"	"ENSG00000008294.22"	1846.001
"213"	"ENSG00000008300.17"	65
"214"	"ENSG00000008311.16"	1211.998
"215"	"ENSG00000008323.16"	18
"216"	"ENSG00000008324.12"	22
"217"	"ENSG00000008382.16"	49
"218"	"ENSG00000008394.13"	139
"219"	"ENSG00000008405.12"	164
"220"	"ENSG00000008438.5"	1
"221"	"ENSG00000008441.19"	635.999
"222"	"ENSG00000008513.17"	67
"223"	"ENSG00000008516.19"	5
"224"	"ENSG00000008517.19"	201.002
"225"	"ENSG00000008710.20"	2389.352
